,Unnamed: 0,Kommun_code,Year,Revenue,Employee,Population,Population_University,Percent_University,Productivity,SalesIndex,Infrast,Border
0,1,2583,2010,1078,276,10059,719,0.07147828,195.74174,111.075774,0,1
1,2,880,2010,3790,1621,62815,8716,0.13875667,117.17365,390.516869,0,0
2,3,1780,2010,4560,1910,85753,13308,0.15518991,119.64793999999999,469.856708,0,0
3,4,114,2010,1366,708,39289,4419,0.11247423,96.69215,140.750935,0,0
4,5,115,2010,171,99,30114,3843,0.12761506,86.56347,17.619626999999998,0,0
5,6,117,2010,563,314,39521,5011,0.12679335,89.85712,58.010817,0,0
6,7,120,2010,920,454,38301,4720,0.12323438,101.55604,94.795652,0,0
7,8,123,2010,5119,2001,66211,9009,0.13606500000000002,128.20702,527.455371,0,0
8,9,125,2010,144,116,25410,3893,0.1532074,62.212590000000006,14.837579999999999,0,0
9,10,126,2010,7153,2374,97453,12795,0.13129406,151.0015,737.036192,0,0
10,11,127,2010,1469,530,82608,8023,0.09712134,138.90558000000001,151.363926,0,0
11,12,128,2010,27,68,15391,1900,0.12344877,19.89888,2.782046,0,0
12,13,136,2010,1459,1031,77054,6776,0.08793833,70.92027,150.333539,0,0
13,14,138,2010,480,290,42947,5219,0.12152188,82.95012,49.458601,0,0
14,15,139,2010,222,80,23676,2520,0.10643689999999999,139.07106000000002,22.874603,0,0
15,16,140,2010,16,20,9331,891,0.09548816,40.09256,1.64862,0,0
16,17,160,2010,3441,1546,63789,13442,0.21072599,111.5447,354.556345,0,0
17,18,162,2010,500,272,31330,8448,0.26964571,92.12444,51.519376,0,0
18,19,163,2010,2393,1116,64630,12322,0.19065449,107.46133999999999,246.571733,0,0
19,20,180,2010,32897,18795,847073,191585,0.22617295,87.7178,3389.665819,1,0
20,21,181,2010,2191,894,86246,8734,0.10126846,122.8227,225.757905,0,0
21,22,182,2010,3104,1489,90108,17871,0.19832867,104.47221,319.832286,0,0
22,23,183,2010,573,365,38633,6520,0.16876763,78.67478,59.041205000000005,0,0
23,24,184,2010,1491,847,68144,16038,0.23535454,88.22019,153.630779,0,0
24,25,186,2010,533,259,44017,10030,0.22786651,103.13384,54.919655000000006,0,0
25,26,187,2010,68,57,10965,1946,0.17747378,59.78715,7.006635,0,0
26,27,188,2010,1191,678,56080,4663,0.08314907,88.03509,122.719153,0,0
27,28,191,2010,754,508,39990,4047,0.1012003,74.38432,77.69121899999999,0,0
28,29,192,2010,386,195,26032,2149,0.08255224,99.20338000000001,39.772958,0,0
29,30,305,2010,218,147,19629,1661,0.0846197,74.32124,22.462448000000002,0,0
30,31,319,2010,61,41,9103,611,0.06712073,74.56238,6.2853639999999995,0,0
31,32,331,2010,134,62,13382,775,0.05791362,108.31456999999999,13.807193,0,0
32,33,360,2010,148,135,20125,1258,0.06250932,54.94165,15.249735000000001,0,0
33,34,380,2010,7042,3391,197787,40476,0.20464439,104.07394000000001,725.59889,0,0
34,35,381,2010,651,343,39759,3814,0.09592797,95.11755,67.078227,0,0
35,36,382,2010,236,122,21373,1473,0.06891873,96.94511999999999,24.317145,0,0
36,37,428,2010,317,182,8893,535,0.06015968,87.28943000000001,32.663284000000004,0,0
